Kabupaten/Kota,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Kacang-Kacangan Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,
,KACANG-KACANGAN,,Kacang tanah tanpa kulit,,Kacang kedele,,Kacang lainnya,,Tahu,,Tempe,,Oncom,,Hasil lain dari kacang-kacangan,
,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022
Simeulue,475.28,582.48,44.9,18.95,-,-,33.89,56.8,79.96,83.12,316.52,421.32,-,2.28,-,-
Aceh Singkil,2033.93,2189.15,103.43,99.07,2.28,18.45,38.45,14.07,947.5,1032.3,928.08,1020.29,0.73,4.98,13.45,-
Aceh Selatan,1324.44,1016.84,235.14,70.04,-,-,45.25,10.67,302.39,293.1,730.39,635.83,-,5.6,11.27,1.59
Aceh Tenggara,1812.45,1864.99,87.29,30.43,2,20.39,21.84,3.72,846.88,908.09,822.4,861.9,16.94,36.99,15.11,3.47
Aceh Timur,1329.52,1482.39,34.91,85.69,-,16.5,39.6,52.32,460.16,504.28,765.32,800.32,13.48,19.94,16.05,3.34
Aceh Tengah,2953.51,2982.12,87.83,63.48,21.48,-,87.33,16.4,1432.48,1500.87,1324.37,1377.15,-,24.23,-,-
Aceh Barat,2187.72,2194.79,279.74,148.66,28.66,20.18,85.85,104.59,605.68,648.31,1175.07,1264.72,5.4,4.64,7.32,3.68
Aceh Besar,1776.45,1774.67,103.54,130.36,14.49,11.63,39.15,108.75,632.05,612.08,986.4,904.44,0.83,7.42,-,-
Pidie,1470.29,1471.89,241.77,80.72,2.06,12.65,122.6,75.54,345.14,439.71,748.97,855.85,9.29,0.95,0.46,6.47
Bireuen,2008.42,1708.89,154.82,62.55,19.51,28.77,224.49,71.68,580.03,530.34,1005.62,991.58,6.41,11.11,17.54,12.86
Aceh Utara,1228.4,1556.62,65.29,110.09,16.09,4.58,67.63,31.05,376.62,540.04,672.86,852.59,15.11,17,14.8,1.26
Aceh Barat Daya,1094.49,950.95,111.5,50.52,3.18,9.5,5.5,14.29,322.72,294.05,648.59,580.55,3,0.9,-,1.14
Gayo Lues,2002.71,1973.6,213.11,238.91,12.69,7.75,79.61,11.21,652.69,690.29,1025.81,1000.56,13.5,18.39,5.29,6.48
Aceh Tamiang,1955.06,1990.74,32.19,39.95,6.7,4.12,21.19,6.92,824.51,778.42,1061.15,1147.27,8.86,13.66,0.46,0.4
Nagan Raya,2614.43,2965.64,280.12,273.09,28.62,2.95,104.03,94.99,848.85,1038.45,1331.13,1515.27,17.7,35.6,3.98,5.29
Aceh Jaya,1694.25,1655.78,238.53,160.17,-,3.89,84.39,71.34,405.4,441.67,962.52,972.89,0.61,0.61,2.8,5.21
Bener Meriah,2496.53,2847.19,78.02,111.82,6.78,10.8,8.15,13.03,1223.05,1142.48,1168.26,1524.94,12.27,44.13,-,-
Pidie Jaya,1838.26,1742.77,226.58,52.29,-,12.91,80.57,21.55,542.01,544.99,968.84,1088.06,15.76,22.97,4.51,-
Kota Banda Aceh,2192.73,2720.31,163.1,176.49,3.66,34.6,64.33,59.5,719.8,891.01,1224.83,1535.2,4.29,0.56,12.72,22.96
Kota Sabang,2113.01,2416.49,49.65,60.41,5.36,22.84,64.18,157.25,769.2,911.13,1214.59,1239.48,9.31,2.95,0.72,22.44
Kota Langsa,1937.68,2605.95,53.97,126.68,3.75,23.06,68.69,90.06,615.49,830,1150.85,1520.23,2.46,2.84,42.48,13.08
Kota Lhokseumawe,1640.36,1697.6,133.11,39.65,9.69,0.67,25.18,26.14,615.26,765.5,847.61,859.96,-,3.79,9.5,1.9
Kota Subulussalam,2061.25,2417.13,81.52,214.84,1.15,4.85,3.04,-,980.33,1149.5,981.79,1027.95,11.12,16.65,2.31,3.35
Nias,727.19,659.86,44.13,5.64,-,-,11.41,7.24,545.35,548.55,122.56,98.43,3.74,-,-,-
Mandailing Natal,1823.56,1948.82,98.37,87.43,-,0.62,21.96,17.57,835.17,921.6,856.71,912.59,6.13,4.37,5.22,4.65
Tapanuli Selatan,2181.55,2199.46,151.93,141.4,1.27,0.93,27.82,48.84,1032.24,1049.61,941.25,937.08,7.14,1.85,19.9,19.74
Tapanuli Tengah,1280.46,1311.67,19.95,21.8,12.97,-,157.62,31.17,638.92,702.77,444.69,553.61,-,0.94,6.3,1.38
Tapanuli Utara,2246.36,2374.55,66.66,25.7,3.58,0.8,65.99,14.37,1409.81,1533.82,689.23,797.99,4.61,1.87,6.47,-
Toba Samosir,2362.75,2311.21,57.68,135.25,6.3,-,108.33,26.42,1457.93,1327.74,727.19,804.16,1.69,3.8,3.63,13.83
Labuhan Batu,1682.83,2037.68,66.14,67.43,0.92,-,77.98,28.91,774.12,975.72,759.83,951.24,3.84,8.03,-,6.35
Asahan,2156.54,2273.54,114.88,179.72,2.51,6.94,52.87,53.34,943.26,892,1038.31,1136.82,3.12,3.83,1.6,0.88
Simalungun,2339.64,2137.7,157.08,108.27,4.42,1.39,71.23,44.42,1020.52,988.53,1077.99,983.03,2.53,6.91,5.87,5.14
Dairi,2286.8,2037.53,72.81,71.3,4.98,28.13,13.31,8.55,1425.27,1204.07,762.12,725.49,5.72,-,2.59,-
Karo,2329.51,3161.22,78.42,184.87,18.39,3.97,31.24,32.38,1385.37,1778.15,803.52,1159.69,7.61,0.87,4.96,1.29
Deli Serdang,2223.95,2687.89,165.23,270.64,6.7,28.01,28.94,35.63,988.19,1132.5,1029.1,1214.19,4.21,4.48,1.57,2.45
Langkat,2275.45,2747.81,152.38,304.51,18.52,2.93,136.24,54.02,887.95,1075.89,1077.64,1295.98,1.23,4.04,1.49,10.45
Nias Selatan,664.9,892.77,7.01,28.06,1.11,-,7.41,1.51,537.37,748.73,112,109.27,-,-,-,5.19
Humbang Hasundutan,1905.77,2065.88,44.06,41.24,-,3.42,35.86,57.95,1317.56,1338.29,508.29,624.98,-,-,-,-
Pakpak Bharat,2153.55,2302.62,54.43,118,-,-,14.75,73.07,1312.55,1365.45,766.04,741.02,2.55,-,3.23,5.09
Samosir,1877.54,1896.67,55.77,91.45,12.99,38.75,24.42,14.23,1146.04,1172.53,636.46,577.83,1.84,1.88,-,-
Serdang Bedagai,2050.73,2185.81,140.17,149.84,10.59,4.25,33.44,65.5,885.61,895.84,972.38,1061.44,-,0.86,8.54,8.07
Batu Bara,1434.14,1813.91,120.1,66.75,-,4.26,47.99,47.34,567.55,737.83,688.91,943.53,-,9.74,9.6,4.46
Padang Lawas Utara,2058.42,2482.78,136.21,267.42,3.3,-,2.09,27.25,958.3,1143.7,937.86,1021.93,3.28,17.82,17.37,4.67
Padang Lawas,1970.75,2534.07,166.69,252.43,-,6.71,16.66,15.13,893.14,1118.5,888.44,1121.03,1.45,10.03,4.38,10.24
Labuhan Batu Selatan,2407.77,2541.14,118.59,105.25,2.39,-,2.79,23.98,1143,1134.52,1131.81,1265.38,9.03,6.59,0.17,5.42
Labuhan Batu Utara,1944.44,1997.11,207.33,146.96,6.77,1.33,87.93,31.45,755.38,850.76,881.57,953.6,3.02,4.2,2.44,8.81
Nias Utara,573.72,688.28,7.16,17.2,5.27,-,14.4,24.08,456.26,570.32,89.82,76.68,0.66,-,0.14,-
